x	y	c
 0	 0	0.795229
 1	 0	0.492870
 2	 0	0.767759
 3	 0	0.331833
 4	 0	0.356686
 5	 0	0.724618
 6	 0	0.195245
 7	 0	0.857349
 8	 0	0.215192
 9	 0	0.123063
10	 0	0.790132
11	 0	0.179184
12	 0	0.639813
13	 0	0.231366
14	 0	0.674376
15	 0	0.187833
16	 0	0.000038
17	 0	0.163300
18	 0	0.160837
19	 0	0.474967
20	 0	0.395896
21	 0	0.588131
22	 0	0.055262
23	 0	0.975675
24	 0	0.004574
25	 0	0.971547
26	 0	0.515323
27	 0	0.746993
28	 0	0.062808
29	 0	0.322796
30	 0	0.598253
31	 0	0.858036
 0	 1	0.815666
 1	 1	0.366012
 2	 1	0.189870
 3	 1	0.172352
 4	 1	0.090629
 5	 1	0.385114
 6	 1	0.029701
 7	 1	0.305821
 8	 1	0.508177
 9	 1	0.819833
10	 1	0.485005
11	 1	0.147990
12	 1	0.051199
13	 1	0.159382
14	 1	0.335822
15	 1	0.051237
16	 1	0.322682
17	 1	0.496660
18	 1	0.526204
19	 1	0.718578
20	 1	0.084791
21	 1	0.581466
22	 1	0.694253
23	 1	0.089365
24	 1	0.553013
25	 1	0.209576
26	 1	0.836358
27	 1	0.615820
28	 1	0.532373
29	 1	0.434610
30	 1	0.473857
31	 1	0.348039
 0	 2	0.800622
 1	 2	0.663727
 2	 2	0.520391
 3	 2	0.891251
 4	 2	0.048841
 5	 2	0.550092
 6	 2	0.197073
 7	 2	0.557018
 8	 2	0.369925
 9	 2	0.682078
10	 2	0.705008
11	 2	0.421124
12	 2	0.841460
13	 2	0.040830
14	 2	0.472361
15	 2	0.164142
16	 2	0.537490
17	 2	0.998565
18	 2	0.882720
19	 2	0.622281
20	 2	0.580031
21	 2	0.576973
22	 2	0.711645
23	 2	0.133044
24	 2	0.786549
25	 2	0.548003
26	 2	0.748864
27	 2	0.318922
28	 2	0.982613
29	 2	0.222721
30	 2	0.666961
31	 2	0.783235
 0	 3	0.886448
 1	 3	0.187351
 2	 3	0.674487
 3	 3	0.935288
 4	 3	0.737443
 5	 3	0.871560
 6	 3	0.492307
 7	 3	0.107369
 8	 3	0.553638
 9	 3	0.197314
10	 3	0.528493
11	 3	0.395098
12	 3	0.238145
13	 3	0.000854
14	 3	0.559239
15	 3	0.775634
16	 3	0.999419
17	 3	0.441959
18	 3	0.397915
19	 3	0.579450
20	 3	0.018932
21	 3	0.109561
22	 3	0.712494
23	 3	0.805481
24	 3	0.657564
25	 3	0.461359
26	 3	0.124403
27	 3	0.640177
28	 3	0.684080
29	 3	0.791364
30	 3	0.423413
31	 3	0.570527
 0	 4	0.978715
 1	 4	0.097899
 2	 4	0.505816
 3	 4	0.716158
 4	 4	0.969459
 5	 4	0.998122
 6	 4	0.823527
 7	 4	0.523097
 8	 4	0.195437
 9	 4	0.352020
10	 4	0.918195
11	 4	0.433581
12	 4	0.352874
13	 4	0.477434
14	 4	0.209216
15	 4	0.352293
16	 4	0.919393
17	 4	0.607131
18	 4	0.931743
19	 4	0.938325
20	 4	0.716692
21	 4	0.644238
22	 4	0.743807
23	 4	0.374256
24	 4	0.105596
25	 4	0.868210
26	 4	0.014433
27	 4	0.789676
28	 4	0.659574
29	 4	0.437845
30	 4	0.360203
31	 4	0.638289
 0	 5	0.535745
 1	 5	0.866019
 2	 5	0.354447
 3	 5	0.505204
 4	 5	0.864142
 5	 5	0.177974
