x	y	c
0	 0	 0.805353
1	 0	 0.743689
2	 0	 0.623514
3	 0	 0.455637
4	 0	 0.303639
5	 0	 0.216128
6	 0	 0.181863
7	 0	 0.172826
8	 0	 0.172716
9	 0	 0.174688
10	 0	 0.17613
11	 0	 0.176427
12	 0	 0.176104
13	 0	 0.176202
14	 0	 0.177816
15	 0	 0.181784
16	 0	 0.188305
17	 0	 0.196565
18	 0	 0.204769
19	 0	 0.210522
20	 0	 0.212046
21	 0	 0.21053
22	 0	 0.211603
23	 0	 0.226589
24	 0	 0.276458
25	 0	 0.389877
26	 0	 0.563094
27	 0	 0.718805
28	 0	 0.800533
29	 0	 0.830387
30	 0	 0.837239
31	 0	 0.830583
0	 1	 0.835884
1	 1	 0.807848
2	 1	 0.737004
3	 1	 0.597652
4	 1	 0.414514
5	 1	 0.269824
6	 1	 0.199738
7	 1	 0.176232
8	 1	 0.170907
9	 1	 0.17103
10	 1	 0.172167
11	 1	 0.173172
12	 1	 0.174347
13	 1	 0.176855
14	 1	 0.1825
15	 1	 0.193002
16	 1	 0.207831
17	 1	 0.222178
18	 1	 0.228904
19	 1	 0.223766
20	 1	 0.208926
21	 1	 0.191492
22	 1	 0.178892
23	 1	 0.177957
24	 1	 0.202374
25	 1	 0.284674
26	 1	 0.4571
27	 1	 0.658891
28	 1	 0.781641
29	 1	 0.828721
30	 1	 0.843017
31	 1	 0.844522
0	 2	 0.847497
1	 2	 0.835857
2	 2	 0.79985
3	 2	 0.707734
4	 2	 0.537078
5	 2	 0.347543
6	 2	 0.230263
7	 2	 0.184746
8	 2	 0.171806
9	 2	 0.169513
10	 2	 0.170104
11	 2	 0.171588
12	 2	 0.174482
13	 2	 0.181323
14	 2	 0.197016
15	 2	 0.226944
16	 2	 0.26894
17	 2	 0.307384
18	 2	 0.322789
19	 2	 0.306328
20	 2	 0.265626
21	 2	 0.22
22	 2	 0.186499
23	 2	 0.171162
24	 2	 0.178947
25	 2	 0.233743
26	 2	 0.382433
27	 2	 0.602728
28	 2	 0.760251
29	 2	 0.824213
30	 2	 0.844229
31	 2	 0.849354
0	 3	 0.852216
1	 3	 0.847635
2	 3	 0.829816
3	 3	 0.774599
4	 3	 0.64009
5	 3	 0.434999
6	 3	 0.271032
7	 3	 0.197623
8	 3	 0.174575
9	 3	 0.169123
10	 3	 0.16894
11	 3	 0.171004
12	 3	 0.176741
13	 3	 0.192316
14	 3	 0.230652
15	 3	 0.304638
16	 3	 0.401554
17	 3	 0.480944
18	 3	 0.511033
19	 3	 0.482492
20	 3	 0.403821
21	 3	 0.304911
22	 3	 0.226124
23	 3	 0.185072
24	 3	 0.177735
25	 3	 0.213884
26	 3	 0.337379
27	 3	 0.55666
28	 3	 0.739242
29	 3	 0.818938
30	 3	 0.844165
31	 3	 0.851328
0	 4	 0.854427
1	 4	 0.852807
2	 4	 0.843365
3	 4	 0.809263
4	 4	 0.708479
5	 4	 0.510952
6	 4	 0.313144
7	 4	 0.212075
8	 4	 0.178144
9	 4	 0.169253
10	 4	 0.168233
11	 4	 0.171166
12	 4	 0.181392
13	 4	 0.21193
14	 4	 0.289259
15	 4	 0.427689
16	 4	 0.57737
17	 4	 0.674967
18	 4	 0.707504
19	 4	 0.680715
20	 4	 0.590954
21	 4	 0.44655
22	 4	 0.302415
23	 4	 0.215838
24	 4	 0.187089
25	 4	 0.207921
26	 4	 0.309432
27	 4	 0.516986
28	 4	 0.716641
29	 4	 0.812187
30	 4	 0.843281
31	 4	 0.852253
0	 5	 0.855425
1	 5	 0.855099
2	 5	 0.849164
3	 5	 0.824884
4	 5	 0.744285
5	 5	 0.559603
6	 5	 0.344265
7	 5	 0.22342
8	 5	 0.180974
9	 5	 0.169291
10	 5	 0.167601
11	 5	 0.171627
12	 5	 0.187526
13	 5	 0.237457
14	 5	 0.361034
15	 5	 0.552105
16	 5	 0.710868
17	 5	 0.788728
18	 5	 0.810812
19	 5	 0.79548
20	 5	 0.731083
21	 5	 0.590931
22	 5	 0.400901
23	 5	 0.259393
24	 5	 0.201725
25	 5	 0.20664
26	 5	 0.287132
27	 5	 0.475233
28	 5	 0.686046
29	 5	 0.800722
30	 5	 0.840496
31	 5	 0.852208
0	 6	 0.855071
1	 6	 0.855512
2	 6	 0.850533
3	 6	 0.828722
4	 6	 0.753786
5	 6	 0.574135
6	 6	 0.354443
7	 6	 0.22716
8	 6	 0.181588
9	 6	 0.168687
10	 6	 0.166658
11	 6	 0.171652
12	 6	 0.192772
13	 6	 0.260715
14	 6	 0.421872
15	 6	 0.636587
16	 6	 0.77718
17	 6	 0.831699
18	 6	 0.845453
19	 6	 0.837749
20	 6	 0.797939
21	 6	 0.68647
22	 6	 0.486629
23	 6	 0.302542
24	 6	 0.21604
25	 6	 0.20494
26	 6	 0.263728
27	 6	 0.42395
28	 6	 0.637965
29	 6	 0.777879
30	 6	 0.832817
31	 6	 0.850058
0	 7	 0.851586
1	 7	 0.853115
2	 7	 0.847259
3	 7	 0.82164
4	 7	 0.738295
5	 7	 0.552492
6	 7	 0.34011
